category,Invertor,firm,series,power,model,Expenses,Cost,Profit,Status,Note
INV,+,Ishimatsu,Osaka_DC_Inverter_WiFi,Osaka_9🌐_9,AVK-09I,32432.0,43100,6358.0,In,
INV,+,Ishimatsu,Osaka_DC_Inverter_WiFi,Osaka_12🌐_12,AVK-12I,42258.0,54600,6882.0,In,
INV,+,Coolberg,Runa_Inverter,Runa-7_7,CI-07R1,32024.0,38200,2356.0,Mv,
INV,+,Coolberg,Runa_Inverter,Runa-9_9,CI-09R1,30616.0,40900,6194.0,In,
INV,+,Coolberg,Runa_Inverter,Runa-12_12,CI-12R1,35594.0,46400,6166.0,In,
INV,+,Coolberg,Runa_Inverter,Runa-18_18,CI-18R1,65301.0,74600,1839.0,Mv,
INV,+,RoyalClima,Grida_DC_Inverter,GridaN-7_7,RCI-GR22HN-NEW,40361.0,54490,8680.0,Mv,
INV,+,RoyalClima,Grida_DC_Inverter,GridaN-9_9,RCI-GRC28HN-NEW,47911.0,56090,2570.0,Mv,
INV,+,RoyalClima,Grida_DC_Inverter,GridaN-12_12,RCI-GRC35HN-NEW,51894.0,58390,657.0,Mv,
INV,+,Haier,Coral_DC,CoralDC-7_7,AS20HPL2HRA/1U20HPL1FRA,43518.0,48900,492.0,In,
INV,+,Haier,Coral_DC,CoralDC-9_9,AS25HPL2HRA/1U25HPL1FRA,45319.0,52600,2021.0,In,
INV,+,Haier,Coral_DC,CoralDC-12_12,AS35HPL2HRA/1U35HPL1FRA,48286.0,60100,5804.0,In,
INV,+,Haier,Quantium_Inverter_New-W,QuantN-7⚪_7,AS20HQJ1HRA/1U20HQJ1FRA-W,37583.0,43500,1567.0,On,-W(Белый)
INV,+,Haier,Quantium_Inverter_New-B,QuantN-7⚫_7,AS20HQJ1HRA/1U20HQJ1FRA-B,52284.0,63900,5226.0,On,-B(Черный)
INV,+,Haier,Quantium_Inverter_New-W,QuantN-9⚪_9,AS25HQJ1HRA/1U25HQJ1FRA-W,37426.0,47400,5234.0,On,-W(Белый)
INV,+,Haier,Quantium_Inverter_New-B,QuantN-9⚫_9,AS25HQJ1HRA/1U25HQJ1FRA-B,41947.0,48700,1883.0,On,-B(Черный)
INV,+,Haier,Quantium_Inverter_New-W,QuantN-12⚪_12,AS35HQJ1HRA/1U35HQJ1FRA-W,42267.0,53600,5973.0,On,-W(Белый)
INV,+,Haier,Quantium_Inverter_New-B,QuantN-12⚫_12,AS35HQJ1HRA/1U35HQJ1FRA-B,41639.0,54900,7771.0,On,-B(Черный)
INV,+,Ballu,iGreen_Pro_Inverter,iGreen-7_7,BSAGI-07HN8,28042.0,34990,3449.0,In,
INV,+,Ballu,iGreen_Pro_Inverter,iGreen-9_9,BSAGI-09HN8,33644.0,38990,1447.0,In,
INV,+,Ballu,iGreen_Pro_Inverter,iGreen-12_12,BSAGI-12HN8,40538.0,46590,1393.0,On,
INV,+,Ballu,Discovery,Discove-7_7,BSVI-07HN8,28155.0,34990,3336.0,On,
INV,+,Ballu,Discovery,Discove-9_9,BSVI-09HN8,33998.0,38990,1093.0,In,
INV,+,Ballu,Discovery,Discove-12_12,BSVI-12HN8,36453.0,46590,5478.0,On,
===,,,,,,,,,
PRM,+,Toshiba,Haori_R32,Haori-9_9,R32-RAS-B10N4KVRG-E,128905.0,150900,6905.0,On,
PRM,+,Toshiba,Haori_R32,Haori-12_12,R32-RAS-B13N4KVRG-E,125048.0,168900,26962.0,On,
PRM,+,Toshiba,Haori_R32,Haori-18_18,R32-RAS-B16N4KVRG-E,160423.0,192900,13187.0,On,
PRM,+,Toshiba,Seiya_2_R32_NEW,SeiyaN-5_7,RAS-B05E2KVG-E,64343.0,78900,6667.0,On,
PRM,+,Toshiba,Seiya_2_R32_NEW,SeiyaN-7_7,RAS-B07E2KVG-E,66644.0,80900,6166.0,On,
PRM,+,Toshiba,Seiya_2_R32_NEW,SeiyaN-9_9,RAS-B10E2KVG-E,61842.0,82900,12768.0,On,
PRM,+,Toshiba,Seiya_2_R32_NEW,SeiyaN-12_12,RAS-B13E2KVG-E,78466.0,89900,2444.0,On,
PRM,+,MitsubishiHeavy,MHI,MHI_9_9,SRK25ZSP-W/SRC25ZSP-W,77848.0,87000,452.0,Mv,
PRM,+,MitsubishiHeavy,MHI,MHI_12_12,SRK35ZSP-W/SRC35ZSP-W,87851.0,98400,709.0,Mv,
PRM,+,MitsubishiHeavy,MHI,MHI_18_18,SRK50ZSP-W/SRC50ZSP-W,106472.0,140000,19528.0,Mv,
PRM,+,MitsubishiHeavy,MHI_Premium_SRK25ZS,MHI-P-9_9,SRK25ZS-W/SRC25ZS-W,111394.0,124800,926.0,Mv,
PRM,+,MitsubishiHeavy,MHI_Premium_SRK35ZS,MHI-P-12_12,SRK35ZS-W/SRC35ZS-W,115709.0,139800,10111.0,Mv,
PRM,+,MitsubishiHeavy,MHI_Premium_Titanium,MHI-Tit-9_9,SRK25ZS-W/SRC25ZS-W,130518.0,155200,9162.0,Mv,
PRM,+,MitsubishiHeavy,MHI_Premium_Titanium,MHI-Tit-12_12,SRK35ZS-W/SRC35ZS-W,130220.0,164300,17650.0,Mv,
PRM,+,Haier,Flexis_Super_Match,Flexis-9_9,AS25S2SF2FA-W/-G/-B,86486.0,99900,3424.0,Mv,
PRM,+,Haier,Flexis_Super_Match,Flexis-12_12,AS35S2SF2FA-W/-G/-B,87764.0,113400,14296.0,Mv,
PRM,+,Haier,Flexis_Super_Match,Flexis-18_18,AS50S2SF2FA-W/-G/-B,125914.0,166200,23666.0,Mv,
PRM,+,Haier,JadeSM,JadeSM-9_9,AS25S2SJ2FA-W/G/S_1U25MECFRA,133968.0,164700,14262.0,Mv,
PRM,+,Haier,JadeSM,JadeSM-12_12,AS35S2SJ2FA-W/G/S_1U35MECFRA,158788.0,185900,8522.0,Mv,
PRM,+,Haier,JadeSM,JadeSM-18_18,AS50S2SJ2FA-W/G/S_1U50JEC1FRA,167049.0,214400,25911.0,Mv,
===,,,,,,,,,
SP,-,Energolux,Cassette_type,SAC-12C_12,SAC12С6-A/SAU12U6-A,72335.0,84900,4075.0,On,
SP,-,Energolux,Cassette_type,SAC-18C_18,SAC18С6-A/SAU18U6-A,73653.0,95600,12387.0,On,
SP,-,Energolux,Cassette_type,SAC-24C_24,SAC24С6-A/SAU24U6-A,101680.0,121100,7310.0,On,
SP,-,Energolux,Cassette_type,SAC-36C_36,SAC36С6-A/SAU36U6-A,121461.0,162400,24699.0,On,
SP,-,Energolux,Canal_type,SAD-18D_18,SAD18D6-A/SAU18U6-A,68078.0,90400,13282.0,On,
SP,-,Energolux,Canal_type,SAD-24D_24,SAD24D6-A/SAU24U6-A,100971.0,119500,6579.0,On,
SP,-,Energolux,Canal_type,SAD-36D_36,SAD36D6-A/SAU36U6-A,118739.0,159500,24811.0,On,
SP,-,Energolux,Canal_type,SAD-48D_48,SAD48D6-A/SAU48U6-A,177698.0,198200,682.0,On,
SP,-,Ferrum,Cassette_type,LCA-12C_12,LCAC12C1-A/LCAU12U1-A/SCP17A1,62177.0,75100,5413.0,On,
SP,-,Ferrum,Cassette_type,LCA-18C_18,LCAC18C1-A/LCAU18U1-A/SCP17A1,71445.0,83600,3795.0,On,
SP,-,Ferrum,Cassette_type,LCA-24C_18,LCAC24C1-A/LCAU24U1-A/SCP18A1,91121.0,105600,3919.0,On,
SP,-,Ferrum,Cassette_type,LCA-36C_18,LCAC36C1-A/LCAU36U1-A/SCP18A1,129995.0,145100,595.0,On,
SP,-,Ferrum,Canal_type,LCA-18D_18,LCAD18D1-A/LCAU18U1-A,65098.0,79600,6542.0,On,
SP,-,Ferrum,Canal_type,LCA-24D_24,LCAD24D1-A/LCAU24U1-A,89512.0,107300,7058.0,On,
SP,-,Ferrum,Canal_type,LCA-36D_36,LCAD36D1-A/LCAU36U1-A,121837.0,143000,6863.0,On,
SP,-,Ferrum,Canal_type,LCA-48D_48,LCAD48D1-A/LCAU48U1-A,146920.0,178000,13280.0,On,
SP,-,Hisense,Cassette_type,AU-12C_12,AUC-12HR4SAA|AUC-650|AUW-12H4SV,73434.0,92890,10167.0,On,
SP,-,Hisense,Cassette_type,AU-18C_18,AUC-18HR4SAA1|AUC-650|AUW-18H4SS,90608.0,105190,4063.0,On,
SP,-,Hisense,Cassette_type,AU-24C_24,AUC-24HR4SJA|AUC-950R|AUW-24H4SF,109581.0,136590,13350.0,On,
SP,-,Hisense,Cassette_type,AU-36C_36,AUC-36HR4SKA|AUC-950R|AUW-36H6SD,160899.0,178790,12.0,On,
SP,-,Hisense,Canal_type,AU-12D_12,AUD-12HX4SNL/AUW-12H4SV,73561.0,88490,6080.0,On,
SP,-,Hisense,Canal_type,AU-18D_18,AUD-18HX4SNL1/AUW-18H4SS,88240.0,101990,3551.0,On,
SP,-,Hisense,Canal_type,AU-24D_24,AUD-24HX4SLH1/AUW-24H4SF,106282.0,128890,9719.0,On,
SP,-,Hisense,Canal_type,AU-36D_36,AUD-36HX4SHH1/AUW-36H6SD,158104.0,181190,4967.0,On,
SP,-,MDV,Cassette_Type_Compact,MDCA-12CT_12,MDCA5-12HRN1/T-MBQ4-03EMDOU3-12HN1-L,73246.0,87800,5774.0,On,
SP,-,MDV,Cassette_Type_Compact,MDCA-18CT_18,MDCA5-18HRN1/T-MBQ4-03E/MDOU3-18HN1-L,84768.0,96300,1902.0,On,
SP,-,MDV,Cassette_Type_Full,MDCF-24C_24,MDCF-24HRN1/T-MBQ4-04B/MDOU3-24HN1-L,97791.0,130100,19299.0,On,
SP,-,MDV,Cassette_Type_Full,MDCF-36C_36,MDCF-36HRN1/T-MBQ4-04B/MDOU-36HN1-L,136160.0,181900,27550.0,On,
SP,-,MDV,Canal_type,MDTJ-12D_12,MDTJ-18HWN1/MDOU3-18HN1-L,72218.0,96000,14182.0,On,
SP,-,MDV,Canal_type,MDTJ-18D_18,MDTJ-24HWN1/MDOU3-24HN1-L,113013.0,128400,2547.0,On,
SP,-,MDV,Canal_type,MDTI-24D_24,MDTI-36HWN1/MDOU-36HN1-L,150735.0,187000,17565.0,On,
SP,-,MDV,Canal_type,MDTI-36D_36,MDTI-48HWN1/MDOU-48HN1-L,191913.0,228300,13557.0,On,
SP,-,Ishimatsu,Cassette_type,AC-12HC_12,AC12H,63564.0,73500,2586.0,On,
SP,-,Ishimatsu,Cassette_type,AC-18HC_18,AC18H,62821.0,75000,4679.0,On,
SP,+,Haier,Cassette_type,AB25-9C_12,AB25S2SC2FA/1U25S2SM4FA/PB-620KB,104066.0,115900,244.0,On,
SP,+,Haier,Cassette_type,AB35-12C_12,AB35S2SC2FA/1U35S2SM4FA/PB-620KB,98398.0,125200,14282.0,On,
SP,+,Haier,Cassette_type,AB50-18C_18,AB50S2SC2FA/1U50S2SJ3FA/PB-620KB,142961.0,162100,2929.0,On,
SP,+,Haier,Cassette_type,AB71-24C_24,AB71S2SG1FA/1U70S2SJ2FA/PB-950КB,154006.0,199500,25544.0,On,
SP,+,Haier,Canal_type_30_Pa,A50±30-18D_24,AD50S1LS1FA/1U50S1LM1FA,103872.0,124000,7728.0,On,
SP,+,Haier,Canal_type_30_Pa,71±30-24D_36,AD71S1LS1FA/1U71S1LR1FA,130810.0,147200,1670.0,On,
SP,+,Haier,Canal_type_100_Pa,50±100-18D_24,AD50S2LM1FA/1U50S1LM1FA,102070.0,133700,18260.0,On,
SP,+,Haier,Canal_type_100_Pa,71±100-24D_36,AD71S2LM1FA/1U71S1LR1FA,133186.0,148100,104.0,On,
SP,+,Haier,Canal_type_100_Pa,105±100-36D_48,AD105S2LM1FA/1U105S1LS1FA,171319.0,202400,10841.0,On,
===,,,,,,,,,
DVS,0,Device,,WiFi_USB_modul_OSK106,,2000,,,Mv,"WiFi for {PERFETTO, ATTICA NERO, PANDORA, GLORIA, ARIA, MULTI GAMMA}"
DVS,0,Device,,WiFi_USB_modul_OSK107,,2000,,,Mv,"WiFi for {PERFETTO, ATTICA NERO, PANDORA, GLORIA, ARIA, MULTI GAMMA}"
DVS,0,Device,,WiFi_AEH-W4G1,,2000,,,Mv,"WiFi All for Hisense, оснащенных функцией wifi ready"
DVS,0,Device,,WiFi_USB_adapter_SIW03A1,,2000,,,Mv,"USB Wi-Fi адаптер для бытовых кондиционеров серии BERN, LAUSANNE, ZURICH, Geneva Energolux"
DVS,0,Device,,WiFi_USB_adapter_SIW02A1,,2000,,,Mv,"Wi-Fi адаптер для настенных блоков серии Basel, Energolux"
DVS,0,Device,,Wifi_modul_HDN/WFN.2.1,,2500,,,Mv,"Универсальный Wi-Fi HOMMYN+ConnectCabel_Hommyn_HccGR, подходит для серий: Lagoon_DC|Eco Smart|Greenland_DC|Platinum_Evolution|Ice Peak|Boho|iGreen_Pro|Platinum_DC|Lagoon|Olympio Legend"
===,,,,,,,,,
MULT,+,Energolux,Smart_Multi_Aux,SMA-OB-14_14/2,SAM14M1-AI/2,59997.0,80400,12363.0,On,Outside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-OB-18_18/2,SAM18M1-AI/2,80110.0,91500,2240.0,On,Outside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-OB-21_21/3,SAM21M1-AI/3,98951.0,113500,3199.0,On,Outside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-OB-27_27/3,SAM27M1-AI/3,109546.0,122000,254.0,On,Outside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-OB-36_36/4,SAM36M2-AI/4,171013.0,192500,2237.0,On,Outside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-OB-42_42/5,SAM42M2-AI/5,205202.0,233600,5038.0,On,Outside_Block
MULT,,Energolux,Smart_Multi_Aux,,,,,,,-------
MULT,+,Energolux,Smart_Multi_Aux,SMA-IB-07_07,SAS07M3-AI,20119.0,23200,761.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-IB-09_09,SAS09M3-AI,21300.0,23800,120.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-IB-12_12,SAS12M3-AI,20667.0,24600,1473.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-IB-18_18,SAS18M3-AI,21710.0,26800,2410.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-IB-24_24,SAS24M3-AI,29185.0,34800,2135.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-AIB-07_07,SAS07M3-AIB,20339.0,24400,1621.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-AIB-09_09,SAS09M3-AIB,20876.0,24900,1534.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-AIB-12_12,SAS12M3-AIB,19488.0,25700,3642.0,On,Inside_Block
MULT,+,Energolux,Smart_Multi_Aux,SMA-AIB-18_18,SAS18M3-AIB,23871.0,28800,2049.0,On,Inside_Block
MULT,,------,,,,,,,,,
MULT,+,Energolux,Big_Multi_Gree,BMG-OB-14_14/2,SAM14M3-GI/2,91833.0,102800,687.0,On,Outside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-OB-18_18/2,SAM18M3-GI/2,92378.0,116000,12022.0,On,Outside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-OB-24_24/3,SAM24M3-GI/3,134589.0,152000,2211.0,On,Outside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-OB-27_27/4,SAM27M3-GI/4,145967.0,164700,2263.0,On,Outside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-OB-36_36/4,SAM36M3-GI/4,212782.0,237500,968.0,On,Outside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-OB-42_42/5,SAM42M3-GI/5,212674.0,258900,20336.0,On,Outside_Block
MULT,,Energolux,Big_Multi_Gree,,,,,,,-------
MULT,+,Energolux,Big_Multi_Gree,BMG-IB-07_07,SAS07M3-GI,17974.0,23100,2816.0,On,Inside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-IB-09_09,SAS09M3-GI,21994.0,24600,146.0,On,Inside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-IB-12_12,SAS12M3-GI,21882.0,28600,3858.0,On,Inside_Block
MULT,+,Energolux,Big_Multi_Gree,BMG-IB-18_18,SAS18M3-GI,33746.0,37500,4.0,On,Inside_Block
MULT,,------,,,,,,,,,
MULT,+,Haier,Super_Match_Leader,SML-OB-14/2,2U40S2SM1FA,72812.0,85800,4408.0,On,Outside_Block
MULT,+,Haier,Super_Match_Leader,SML-OB-18/2,2U50S2SM1FA,93364.0,103900,146.0,On,Outside_Block
MULT,+,Haier,Super_Match_Leader,SML-OB-21/3,3U55S2SR5FA,117834.0,142600,10506.0,On,Outside_Block
MULT,+,Haier,Super_Match_Leader,SML-OB-24/3,3U70S2SR5FA,141367.0,158000,833.0,On,Outside_Block
MULT,,Haier,ERP_Full_DC,,,,,,,-------
MULT,+,Haier,Super_Match_Leader,SML-IB-07_07,AS20PS2HRA-M,20839.0,24600,1301.0,On,Inside_Block
MULT,+,Haier,Super_Match_Leader,SML-IB-09_09,AS25PS2HRA-M,21361.0,26000,2039.0,On,Inside_Block
MULT,+,Haier,Super_Match_Leader,SML-IB-12_12,AS35PS2HRA-M,23864.0,27800,1156.0,On,Inside_Block
MULT,+,Haier,Super_Match_Leader,SML-IB-18_18,AS50PS2HRA-M,26909.0,33300,3061.0,On,Inside_Block
MULT,,------,,,,,,,,,
MULT,+,Haier,Super_Match_Flexis,FOB-21-80_21/3,3U55S2SL5FA_80m,117198.0,148300,16272.0,On,Outside_Block+80m
MULT,+,Haier,Super_Match_Flexis,FOB-24-90_24/3,3U70S2SL5FA_90m,140360.0,162300,5710.0,On,Outside_Block+90m
MULT,+,Haier,Super_Match_Flexis,FOB-27-85_27/4,4U85S2SL5FA_120m,172343.0,194400,2617.0,On,Outside_Block+120m
MULT,+,Haier,Super_Match_Flexis,FOB-42-120_42/5,5U125S2SL1FA_120m,251569.0,290400,9791.0,On,Outside_Block+120m
MULT,,Haier,Super_Match_Flexis,,,,,,,-------
MULT,+,Haier,Super_Match_Flexis,SMF-IB-9_9,AS25S2SF2FA-W/G/B,29302.0,39300,6068.0,On,Inside_Block
MULT,+,Haier,Super_Match_Flexis,SMF-IB-12_12,AS35S2SF2FA-W/G/B,36504.0,44200,3276.0,On,Inside_Block
MULT,+,Haier,Super_Match_Flexis,SMF-IB-18_18,AS50S2SF2FA-W/G/B,53610.0,60800,1110.0,On,Inside_Block
MULT,,------,,,,,,,,,
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-OB-14🌐_14/2,AMW2-14U4RGC,65097.0,76290,3564.0,On,Outside_Block
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-OB-18🌐_18/2,AMW2-18U4RXC,71952.0,80890,849.0,On,Outside_Block
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-OB-18🌐_18/3,AMW3-18U4RJС,94948.0,105690,173.0,On,Outside_Block
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-OB-24🌐_24/3,AMW3-24U4RJC,85620.0,113990,16971.0,On,Outside_Block
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-OB-27🌐_27/4,AMW4-27U4RJC,99000.0,126190,14571.0,On,Outside_Block
MULT,,Hisense,Free_Match_DC_Inverter_R32,,,,,,,-------
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-IB-07🌐_07,AMS-07UW4RMRKB00_WiFi,15694.0,20190,2477.0,On,Inside_Block
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-IB-09🌐_09,AMS-09UW4RMRKB00_WiFi,17173.0,20590,1358.0,On,Inside_Block
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-IB-12🌐_12,AMS-12UW4RXRKB00_WiFi,19875.0,22390,276.0,On,Inside_Block
MULT,+,Hisense,Free_Match_DC_Inverter_R32,AMW-IB-18🌐_18,AMS-18UW4RXSKB01_WiFi,23233.0,27490,1508.0,On,Inside_Block
===,,,,,,,,,,
PRM,+,Panasonic,Compact_Inverter,Compact-7_7,7_7,CS-XZ20ZKEW-H/CU-Z20XKE,125510.0,139700,220.0,On,
PRM,+,Panasonic,Design_Black_Inverter,DesBlack-9_9,CS-XZ25ZKEW-H/CU-Z25XKE,122483.0,154700,16747.0,On,
PRM,+,Panasonic,Design_Black_Inverter,DesBlack-12_12,CS-XZ35ZKEW-H/CU-Z35XKE,151818.0,171800,2802.0,On,
PRM,+,MitsubishiElectric,Standart_Inverter,MS-Std-7_7,MSZ-AP20VG,,,,On,
PRM,+,MitsubishiElectric,Standart_Inverter,MS-Std-9_9,MSZ-AP25VG,,,,On,
PRM,+,MitsubishiElectric,Standart_Inverter,MS-Std-12_12,MSZ-AP35VG,,,,On,
PRM,+,MitsubishiElectric,MSZ_LN_Inverter,MSZ-LN-9_9,MSZ-LN25VG2(V/B/R),,,,On,
PRM,+,MitsubishiElectric,MSZ_LN_Inverter,MSZ-LN-12_12,MSZ-LN35VG2(V/B/R),,,,On,
PRM,+,MitsubishiElectric,MSZ_LN_Inverter,MSZ-LN-18_18,MSZ-LN50VG2(V/B/R),,,,On,
PRM,+,Daikin,Perfera_Inverter,FTX-7_7,FTXM20R/RXM20R9,,,,On,
PRM,+,Daikin,Perfera_Inverter,FTX-9_9,FTXM25R/RXM25R9,,,,On,
PRM,+,Daikin,Perfera_Inverter,FTX-12_12,FTXM35R/RXM35R9,,,,On,
